"RECORDID"	"ONEPERID"	"ONEPERFLAG"	"ORGFLAG"	"GROUPFLAG"	"EBDFFLAG"	"MASTERRECORDID"
"0021060800"	"0021060800"	"1"	""	""	"1"	"MB15358660"
"0021067007"	"0021067007"	"1"	""	""	"1"	"MA11529585"
"0021110822"	"0021110822"	"1"	""	""	"1"	"MA11053856"
"0021127707"	"0021127707"	"1"	""	""	"1"	"MA11036887"
"0021136299"	"0021136299"	"1"	""	""	"1"	"MA11483928"
"0021136315"	"0021136315"	"1"	""	""	"1"	"MA11190515"
"0021136316"	"0021136316"	"1"	""	""	"1"	"MF12210772"
"0021136412"	"0021136412"	"1"	""	""	"1"	"MA11494348"
"0021136448"	"0021136448"	"1"	""	""	"1"	"MA11450666"
"0021136470"	"0021136470"	"1"	""	""	""	"MA11481557"
"0021136507"	"0021136507"	"1"	""	""	"1"	"MA08381521"
"0021136525"	"0021136525"	"1"	""	""	"1"	"MA11483883"
"0021136619"	"0021136619"	"1"	""	""	"1"	"MA11256218"
"0021136629"	"0021136629"	"1"	""	""	"1"	"MA11450672"
"0021136729"	"0021136729"	"1"	""	""	"1"	"MA11110897"
"0021136732"	"0021136732"	"1"	""	""	""	"MA11593287"
"0021136766"	"0021136766"	"1"	""	""	"1"	"MA11480815"
"0021136836"	"0021136836"	"1"	""	""	"1"	"MA10996072"
"0021136959"	"0021136959"	"1"	""	""	"1"	"MA08840514"
"0021136965"	"0021136965"	"1"	""	""	"1"	"MA11593041"
"0021136987"	"0021136987"	""	""	"1"	"1"	"MR00112743"
"0021137086"	"0021137086"	"1"	""	""	"1"	"MA11129275"
"0021137109"	"0021137109"	"1"	""	""	"1"	"MF05999883"
"0021137168"	"0021137168"	"1"	""	""	"1"	"MA11516179"
"0021137188"	""	""	""	"1"	""	"MA08913708"
"0021137198"	"0021137198"	"1"	""	""	"1"	"MA08917923"
"0021137202"	"0021137202"	"1"	""	""	"1"	"MA11062045"
"0021137203"	"0021137203"	"1"	""	""	"1"	"MF00981879"
"0021137249"	"0021137249"	"1"	""	""	"1"	"MA11481489"
"0021137292"	"0021137292"	"1"	""	""	"1"	"MA11092946"
"0021137350"	"0021137350"	"1"	""	""	""	"MA11597213"
"0021137392"	"0021137392"	"1"	""	""	"1"	"MA11090763"
"0021137394"	"0021137394"	"1"	""	""	"1"	"MR03846356"
"0021137398"	"0021137398"	"1"	""	""	"1"	"MA08490085"
"0021137417"	"0021137417"	"1"	""	""	"1"	"MA11444731"
"0021137418"	"0021137418"	"1"	""	""	"1"	"MA11204461"
"0021137520"	"0021137520"	"1"	""	""	"1"	"MA08845862"
"0021137571"	"0021137571"	"1"	""	""	"1"	"MA08496397"
"0021137573"	"0021137573"	"1"	""	""	"1"	"MA08844752"
"0021137609"	"0021137609"	"1"	""	""	"1"	"MA08822814"
"0021137618"	"0021137618"	"1"	""	""	"1"	"MA11444608"
"0021137635"	"0021137635"	"1"	""	""	"1"	"MR00178652"
"0021137732"	"0021137732"	"1"	""	""	"1"	"MA08843031"
"0021137739"	"0021137739"	"1"	""	""	"1"	"MA11598015"
"0021137783"	"0021137783"	"1"	""	""	""	"MR01611147"
"0021137920"	"0021137920"	"1"	""	""	"1"	"MA08993174"
"0021137973"	"0021137973"	"1"	""	""	"1"	"N0000KFBUT"
"0021138099"	"0021138099"	"1"	""	""	""	"MA11444596"
"0021138112"	"0021138112"	""	""	"1"	"1"	"MA11047721"
"0021138133"	"0021138133"	"1"	""	""	"1"	"MA09363142"
"0021138168"	"0021138168"	"1"	""	""	"1"	"MA09364255"
"0021138243"	"0021138243"	"1"	""	""	"1"	"MA08841313"
"0021138265"	"0021138265"	"1"	""	""	"1"	"MA11009349"
"0021138402"	"0021138402"	"1"	""	""	""	"MA11444339"
"0021138456"	"0021138456"	"1"	""	""	"1"	"MA08427034"
"0021138473"	"0021138473"	"1"	""	""	"1"	"MA08915082"
"0021138529"	"0021138529"	"1"	""	""	"1"	"MA08836023"
"0021138754"	"0021138754"	"1"	""	""	"1"	"MA11484074"
"0021138755"	"0021138755"	"1"	""	""	"1"	"MA08725374"
"0021138787"	"0021138787"	"1"	""	""	"1"	"MA08913187"
"0021138822"	"0021138822"	"1"	""	""	"1"	"MA08844525"
"0021138850"	"0021138850"	"1"	""	""	"1"	"MA11521556"
"0021138890"	"0021138890"	"1"	""	""	"1"	"MA11591503"
"0021138926"	"0021138926"	""	""	"1"	"1"	"MA11047721"
"0021139001"	""	""	""	"1"	""	"MR09462864"
"0021139270"	"0021139270"	"1"	""	""	"1"	"MR03111262"
"0021139368"	"0021139368"	"1"	""	""	"1"	"MA11058769"
"0021139412"	"0021139412"	"1"	""	""	""	"MA11526621"
"0021139478"	"0021139478"	""	""	"1"	"1"	"N0000N4E23"
"0021139569"	"0021139569"	"1"	""	""	"1"	"MF11086895"
"0021139642"	"0021139642"	"1"	""	""	"1"	"MA11444067"
"0021139668"	"0021139668"	"1"	""	""	"1"	"MA08838523"
"0021139709"	"0021139709"	"1"	""	""	"1"	"MF14205619"
"0021139814"	"0021139814"	"1"	""	""	"1"	"MF13410825"
"0021139826"	"0021139826"	"1"	""	""	"1"	"MA08390662"
"0021139839"	"0021139839"	"1"	""	""	"1"	"MA11155610"
"0021139871"	"0021139871"	"1"	""	""	"1"	"MR09858938"
"0021139972"	""	""	""	"1"	""	"MA11126949"
"0021140074"	"0021140074"	"1"	""	""	"1"	"MR06264441"
"0021140155"	"0021140155"	"1"	""	""	"1"	"MA11204340"
"0021140262"	"0021140262"	"1"	""	""	"1"	"MA11450379"
"0021140274"	"0021140274"	"1"	""	""	"1"	"MF00520821"
"0021140301"	"0021140301"	"1"	""	""	"1"	"MF01873870"
"0021140368"	"0021140368"	"1"	""	""	"1"	"MA08958096"
"0021140403"	"0021140403"	"1"	""	""	"1"	"MA11481219"
"0021140409"	"0021140409"	"1"	""	""	"1"	"MA08838784"
"0021140455"	"0021140455"	"1"	""	""	"1"	"MF09963923"
"0021140490"	"0021140490"	"1"	""	""	"1"	"MF07356851"
"0021140765"	"0021140765"	"1"	""	""	""	"MA11484250"
"0021140770"	"0021140770"	"1"	""	""	"1"	"MA11449207"
"0021140774"	"0021140774"	"1"	""	""	"1"	"MA08839695"
"0021140815"	"0021140815"	"1"	""	""	"1"	"MA11007292"
"0021140897"	"0021140897"	"1"	""	""	"1"	"MA11590833"
"0021140908"	"0021140908"	"1"	""	""	"1"	"MA08843035"
"0021140920"	"0021140920"	"1"	""	""	"1"	"MA11129534"
"0021140947"	"0021140947"	"1"	""	""	"1"	"MA08840976"
"0021141040"	"0021141040"	"1"	""	""	"1"	"MA11126198"
"0021141167"	"0021141167"	""	""	"1"	"1"	"MA11128239"
"0021141209"	"0021141209"	"1"	""	""	"1"	"MR07661775"
"0021141219"	"0021141219"	"1"	""	""	"1"	"MA11523622"
"0021141232"	"0021141232"	"1"	""	""	""	"MA11596953"
"0021141238"	"0021141238"	"1"	""	""	""	"MR35764995"
"0021141266"	"0021141266"	"1"	""	""	"1"	"MA08385521"
"0021141296"	"0021141296"	"1"	""	""	"1"	"MA08914893"
"0021141380"	"0021141380"	"1"	""	""	"1"	"MA08840570"
"0021141621"	"0021141621"	"1"	""	""	"1"	"MA08845841"
"0021141806"	"0021141806"	"1"	""	""	"1"	"MA11517831"
"0021141834"	"0021141834"	"1"	""	""	"1"	"MA11206336"
"0021141841"	"0021141841"	"1"	""	""	"1"	"MA11072118"
"0021141896"	"0021141896"	"1"	""	""	"1"	"MA11047721"
"0021141929"	"0021141929"	"1"	""	""	"1"	"MA11483096"
"0021141951"	"0021141951"	"1"	""	""	"1"	"MA11126704"
"0021142080"	"0021142080"	"1"	""	""	"1"	"MR01420341"
"0021142174"	"0021142174"	"1"	""	""	"1"	"MA11502876"
"0021142209"	"0021142209"	"1"	""	""	"1"	"MF03925706"
"0021142329"	"0021142329"	""	""	"1"	"1"	"MA11047721"
"0021142479"	"0021142479"	"1"	""	""	"1"	"MA11083550"
"0021142512"	"0021142512"	"1"	""	""	"1"	"MA11051301"
"0021142564"	"0021142564"	"1"	""	""	"1"	"MA08477955"
"0021142599"	"0021142599"	"1"	""	""	"1"	"MA11597451"
"0021142739"	"0021142739"	"1"	""	""	"1"	"MA11483743"
"0021142789"	"0021142789"	"1"	""	""	"1"	"MA08836473"
"0021142851"	"0021142851"	"1"	""	""	"1"	"MR09133850"
"0021142901"	"0021142901"	"1"	""	""	"1"	"MA11107358"
"0021142943"	"0021142943"	"1"	""	""	"1"	"MF09345039"
"0021142975"	"0021142975"	"1"	""	""	"1"	"MF09196544"
"0021143110"	"0021143110"	""	""	"1"	"1"	"N0001308O0"
"0021143211"	"0021143211"	"1"	""	""	"1"	"MA11047990"
"0021143288"	"0021143288"	"1"	""	""	"1"	"MA08845821"
"0021143384"	"0021143384"	"1"	""	""	"1"	"MA11481600"
"0021143401"	"0021143401"	"1"	""	""	"1"	"MR07060684"
"0021143451"	"0021143451"	"1"	""	""	"1"	"MA11128923"
"0021143509"	"0021143509"	"1"	""	""	""	"MR07256928"
"0021143547"	""	""	""	"1"	""	"N0001308O0"
"0021143551"	"0021143551"	"1"	""	""	"1"	"MF13388539"
"0021143640"	"0021143640"	"1"	""	""	""	"MA11447834"
"0021143714"	"0021143714"	"1"	""	""	"1"	"MA08383415"
"0021143780"	"0021143780"	"1"	""	""	"1"	"MF14243474"
"0021143918"	"0021143918"	"1"	""	""	""	"MR01548529"
"0021143924"	"0021143924"	"1"	""	""	"1"	"MA08274705"
"0021144001"	"0021144001"	"1"	""	""	"1"	"MA11450374"
"0021144002"	"0021144002"	"1"	""	""	""	"MA11444080"
"0021144120"	"0021144120"	"1"	""	""	"1"	"MA08274954"
"0021144190"	"0021144190"	"1"	""	""	"1"	"MA08168719"
"0021144258"	"0021144258"	"1"	""	""	"1"	"MR27490450"
"0021144305"	"0021144305"	""	""	"1"	"1"	"MA11047721"
"0021144319"	"0021144319"	"1"	""	""	"1"	"MA08422990"
"0021144326"	"0021144326"	"1"	""	""	"1"	"MA11129099"
"0021144370"	"0021144370"	"1"	""	""	"1"	"MA11516390"
"0021144402"	"0021144402"	"1"	""	""	"1"	"MA08846640"
"0021144416"	"0021144416"	"1"	""	""	"1"	"MR05090456"
"0021144421"	"0021144421"	"1"	""	""	"1"	"MA11516423"
"0021144481"	"0021144481"	"1"	""	""	"1"	"MA11450378"
"0021144542"	"0021144542"	"1"	""	""	""	"MA11153877"
"0021144544"	"0021144544"	"1"	""	""	"1"	"MA11048672"
"0021144563"	"0021144563"	"1"	""	""	"1"	"MA08378614"
"0021144584"	"0021144584"	"1"	""	""	"1"	"MA11589208"
"0021144624"	"0021144624"	"1"	""	""	"1"	"MA08844895"
"0021144649"	"0021144649"	"1"	""	""	"1"	"MA08915182"
"0021144965"	"0021144965"	"1"	""	""	"1"	"MA11108524"
"0021145005"	"0021145005"	"1"	""	""	"1"	"MA11108663"
"0021145009"	"0021145009"	"1"	""	""	"1"	"N0000L3FEE"
"0021145158"	"0021145158"	"1"	""	""	"1"	"MA11080580"
"0021145266"	"0021145266"	"1"	""	""	"1"	"MA08841015"
"0021145279"	"0021145279"	"1"	""	""	"1"	"MF01152136"
"0021145293"	"0021145293"	"1"	""	""	"1"	"MF09976729"
"0021145345"	"0021145345"	"1"	""	""	"1"	"MA11524707"
"0021145547"	"0021145547"	""	""	"1"	"1"	"MA11047721"
"0021145682"	"0021145682"	"1"	""	""	"1"	"MA11041737"
"0021145811"	"0021145811"	"1"	""	""	""	"MA11484173"
"0021145945"	"0021145945"	"1"	""	""	"1"	"MF01064749"
"0021146072"	"0021146072"	"1"	""	""	"1"	"MF07718172"
"0021146081"	"0021146081"	"1"	""	""	"1"	"MA11444945"
"0021146107"	"0021146107"	"1"	""	""	"1"	"MR29578456"
"0021146189"	"0021146189"	"1"	""	""	"1"	"MA08913267"
"0021146201"	"0021146201"	"1"	""	""	"1"	"MF13661191"
"0021146242"	"0021146242"	"1"	""	""	"1"	"MA11591588"
"0021146270"	"0021146270"	"1"	""	""	"1"	"MA11020512"
"0021146303"	"0021146303"	""	""	"1"	"1"	"MA11047721"
"0021146349"	"0021146349"	"1"	""	""	"1"	"MA11129476"
"0021146374"	"0021146374"	"1"	""	""	"1"	"MA11205881"
"0021146415"	"0021146415"	""	""	"1"	"1"	"MA11047721"
"0021146429"	"0021146429"	"1"	""	""	"1"	"MA11205290"
"0021146543"	"0021146543"	"1"	""	""	"1"	"MA09039390"
"0021146581"	"0021146581"	"1"	""	""	"1"	"MA11590258"
"0021146628"	"0021146628"	""	""	"1"	"1"	"MA11047721"
"0021146635"	"0021146635"	""	""	"1"	"1"	"MA08917061"
"0021147150"	"0021147150"	"1"	""	""	"1"	"MA11158220"
"0021147185"	"0021147185"	"1"	""	""	"1"	"MA11047235"
"0021147200"	"0021147200"	"1"	""	""	"1"	"MA11092632"
"0021147225"	"0021147225"	"1"	""	""	"1"	"MA11486652"
"0021147229"	"0021147229"	"1"	""	""	"1"	"MF01736624"
"0021147373"	"0021147373"	""	""	"1"	"1"	"MA11047721"
"0021147421"	"0021147421"	"1"	""	""	"1"	"MF08388373"
"0021147714"	"0021147714"	"1"	""	""	"1"	"MA11597411"
"0021147728"	""	""	""	"1"	""	"MA11047721"
"0021147804"	""	""	""	"1"	""	"MA11047721"
"0021147843"	"0021147843"	"1"	""	""	"1"	"MA08846652"
"0021147890"	"0021147890"	"1"	""	""	"1"	"MA08844513"
"0021148015"	"0021148015"	"1"	""	""	"1"	"MA08377302"
"0021148032"	""	""	""	"1"	""	"MA11047721"
"0021148085"	"0021148085"	""	""	"1"	"1"	"N0000M30RV"
"0021148190"	"0021148190"	"1"	""	""	"1"	"MA08843851"
"0021148354"	"0021148354"	"1"	""	""	"1"	"MA11528072"
"0021148448"	"0021148448"	"1"	""	""	"1"	"MA11485205"
"0021148461"	"0021148461"	"1"	""	""	"1"	"MR13633458"
"0021148492"	"0021148492"	"1"	""	""	"1"	"MA08276022"
"0021148493"	"0021148493"	"1"	""	""	"1"	"MA08385299"
"0021148722"	"0021148722"	"1"	""	""	"1"	"MA11108749"
"0021148897"	"0021148897"	"1"	""	""	"1"	"MA08843156"
"0021148927"	"0021148927"	"1"	""	""	"1"	"MA08839830"
"0021149031"	"0021149031"	"1"	""	""	""	"MA11483987"
"0021149132"	"0021149132"	"1"	""	""	"1"	"MA11281311"
"0021149170"	"0021149170"	"1"	""	""	"1"	"MA08491593"
"0021149216"	"0021149216"	"1"	""	""	"1"	"MA11591387"
"0021149224"	"0021149224"	"1"	""	""	"1"	"MA11484023"
"0021149246"	"0021149246"	"1"	""	""	""	"MA08380145"
"0021149260"	"0021149260"	"1"	""	""	"1"	"MA11167991"
"0021149261"	"0021149261"	"1"	""	""	"1"	"MA11129538"
"0021149264"	"0021149264"	"1"	""	""	"1"	"MA11167647"
"0021149307"	"0021149307"	"1"	""	""	""	"MR20930119"
"0021149360"	"0021149360"	"1"	""	""	"1"	"MA08846608"
"0021149365"	"0021149365"	""	""	"1"	"1"	"MA11047721"
"0021149390"	"0021149390"	"1"	""	""	"1"	"MA08838533"
"0021149416"	"0021149416"	"1"	""	""	"1"	"MA11092329"
"0021149423"	"0021149423"	"1"	""	""	"1"	"MA11068993"
"0021149524"	"0021149524"	"1"	""	""	""	"MR21556158"
"0021149531"	"0021149531"	"1"	""	""	"1"	"MA11205859"
"0021149653"	"0021149653"	"1"	""	""	"1"	"MA08380723"
"0021149671"	"0021149671"	"1"	""	""	"1"	"MA11516846"
"0021149688"	"0021149688"	"1"	""	""	"1"	"MA11481092"
"0021149694"	"0021149694"	"1"	""	""	"1"	"MA08490344"
"0021149718"	"0021149718"	"1"	""	""	"1"	"N0000QGO3T"
"0021149730"	"0021149730"	"1"	""	""	"1"	"MA11108764"
"0021149747"	"0021149747"	"1"	""	""	"1"	"MA11108653"
"0021149828"	""	""	""	"1"	""	"MA11047721"
"0021149839"	"0021149839"	"1"	""	""	""	"MA11445434"
"0021149874"	"0021149874"	""	""	"1"	"1"	"MA11047721"
"0021149889"	"0021149889"	"1"	""	""	"1"	"MF05279768"
"0021149896"	"0021149896"	"1"	""	""	"1"	"MF03942612"
"0021149993"	"0021149993"	"1"	""	""	"1"	"MA11445431"
"0021150020"	"0021150020"	"1"	""	""	"1"	"MA11126939"
"0021150034"	"0021150034"	"1"	""	""	"1"	"MA08774672"
"0021150230"	"0021150230"	"1"	""	""	"1"	"MA08949350"
"0021150239"	"0021150239"	"1"	""	""	"1"	"MA11597735"
"0021150246"	"0021150246"	"1"	""	""	"1"	"MA08844220"
"0021150252"	"0021150252"	"1"	""	""	""	"MR08444803"
"0021152454"	"0021152454"	"1"	""	""	"1"	"MA11204132"
"0021152760"	"0021152760"	"1"	""	""	""	"MA11450383"
"0021152774"	""	""	""	"1"	""	"MA11070622"
"0021152791"	"0021152791"	"1"	""	""	"1"	"N0000S2P56"
"0021152837"	"0021152837"	"1"	""	""	"1"	"MA08915166"
"0021152900"	"0021152900"	"1"	""	""	""	"MA11528234"
"0021152995"	"0021152995"	"1"	""	""	""	"MA11528140"
"0021153117"	"0021153117"	""	""	"1"	"1"	"MA11047721"
"0021153138"	"0021153138"	"1"	""	""	"1"	"MF02229464"
"0021153324"	"0021153324"	"1"	""	""	"1"	"MA11488205"
"0021153333"	"0021153333"	"1"	""	""	"1"	"MR28818821"
"0021153368"	"0021153368"	"1"	""	""	"1"	"MA11287946"
"0021153390"	"0021153390"	"1"	""	""	"1"	"MA11093912"
"0021153422"	"0021153422"	"1"	""	""	"1"	"MA11050516"
"0021153487"	"0021153487"	"1"	""	""	"1"	"MR07602809"
"0021153595"	"0021153595"	""	""	"1"	"1"	"MA11126949"
"0021153619"	"0021153619"	"1"	""	""	"1"	"MA08774410"
"0021153631"	"0021153631"	"1"	""	""	""	"MA11444277"
"0021153638"	"0021153638"	"1"	""	""	"1"	"MA08386409"
"0021153646"	"0021153646"	"1"	""	""	""	"MA11565191"
"0021153655"	"0021153655"	""	""	"1"	"1"	"MA11047721"
"0021153669"	"0021153669"	"1"	""	""	"1"	"MA08279357"
"0021153685"	"0021153685"	"1"	""	""	"1"	"MA11522352"
"0021153686"	"0021153686"	"1"	""	""	"1"	"MA08845467"
"0021153750"	"0021153750"	"1"	""	""	"1"	"MR11484779"
"0021153814"	"0021153814"	"1"	""	""	"1"	"MA10610764"
"0021154035"	"0021154035"	"1"	""	""	"1"	"MA11906799"
"0021154042"	"0021154042"	""	""	"1"	"1"	"N0001308O0"
"0021154083"	"0021154083"	"1"	""	""	"1"	"MA11526764"
"0021154117"	"0021154117"	"1"	""	""	""	"MA11591015"
"0021154129"	""	""	""	"1"	""	"MA11047721"
"0021154196"	"0021154196"	"1"	""	""	"1"	"MA11204533"
"0021154210"	"0021154210"	"1"	""	""	"1"	"MA11447753"
"0021154240"	"0021154240"	"1"	""	""	"1"	"MA11109090"
"0021154317"	"0021154317"	""	""	"1"	"1"	"MA11047721"
"0021154391"	"0021154391"	""	""	"1"	"1"	"MA11047721"
"0021154507"	"0021154507"	""	""	"1"	"1"	"N00012YTZF"
"0021154578"	"0021154578"	""	""	"1"	"1"	"MA11047721"
"0021154583"	"0021154583"	"1"	""	""	"1"	"N0000S3N96"
"0021154596"	"0021154596"	"1"	""	""	"1"	"MA11444768"
"0021154649"	"0021154649"	"1"	""	""	"1"	"MR24344646"
"0021154664"	"0021154664"	"1"	""	""	"1"	"MR09462864"
"0021154709"	"0021154709"	"1"	""	""	"1"	"MA11205321"
"0021154720"	""	""	""	"1"	""	"N0000KYS87"
"0021154728"	"0021154728"	""	""	"1"	"1"	"MA11047721"
"0021154744"	"0021154744"	"1"	""	""	"1"	"MR07716347"
"0021154833"	"0021154833"	""	""	"1"	"1"	"MA11047721"
"0021154893"	"0021154893"	"1"	""	""	"1"	"MA11108489"
"0021154895"	"0021154895"	"1"	""	""	"1"	"MR08084000"
"0021154918"	"0021154918"	"1"	""	""	"1"	"MA11077926"
"0021154963"	"0021154963"	"1"	""	""	"1"	"MA08844098"
"0021154980"	"0021154980"	"1"	""	""	"1"	"MA08845554"
"0021154986"	"0021154986"	"1"	""	""	"1"	"MA08836625"
"0021155003"	"0021155003"	"1"	""	""	"1"	"MA11010967"
"0021155035"	"0021155035"	"1"	""	""	"1"	"MF08427828"
"0021155181"	"0021155181"	"1"	""	""	"1"	"MA11108868"
"0021155378"	"0021155378"	"1"	""	""	"1"	"MA11445698"
"0021155379"	"0021155379"	"1"	""	""	"1"	"MA11036733"
"0021155456"	"0021155456"	"1"	""	""	"1"	"MA11129532"
"0021155496"	"0021155496"	"1"	""	""	"1"	"MA08842205"
"0021155587"	"0021155587"	"1"	""	""	"1"	"MA11139472"
"0021155625"	"0021155625"	"1"	""	""	"1"	"MA08384550"
"0021155667"	""	""	""	"1"	""	"N0000PGYLW"
"0021155727"	"0021155727"	"1"	""	""	"1"	"MA11092955"
"0021155820"	"0021155820"	"1"	""	""	"1"	"MA11205292"
"0021155829"	"0021155829"	"1"	""	""	"1"	"MA11153811"
"0021155849"	"0021155849"	"1"	""	""	"1"	"MA08490767"
"0021155853"	"0021155853"	"1"	""	""	"1"	"MA11593077"
"0021155882"	"0021155882"	"1"	""	""	"1"	"MA11138638"
"0021155929"	"0021155929"	"1"	""	""	"1"	"MA11108702"
"0021155948"	"0021155948"	"1"	""	""	"1"	"MA11449272"
"0021155993"	"0021155993"	"1"	""	""	"1"	"MA11444159"
"0021156133"	"0021156133"	"1"	""	""	"1"	"MA11591031"
"0021156139"	"0021156139"	""	""	"1"	"1"	"MA11047721"
"0021156291"	"0021156291"	"1"	""	""	""	"MA11520958"
"0021156360"	""	""	""	"1"	""	"MA11047721"
"0021156367"	"0021156367"	"1"	""	""	"1"	"MA11016482"
"0021156468"	"0021156468"	"1"	""	""	"1"	"MA11597729"
"0021156545"	"0021156545"	"1"	""	""	"1"	"MA11521335"
"0021156550"	"0021156550"	""	""	"1"	"1"	"MA11047721"
"0021156592"	"0021156592"	"1"	""	""	"1"	"N0000Z5ZK1"
"0021156656"	"0021156656"	"1"	""	""	"1"	"MA11009346"
"0021156723"	"0021156723"	"1"	""	""	"1"	"MF13505222"
"0021156725"	"0021156725"	"1"	""	""	"1"	"MA11126949"
"0021156890"	"0021156890"	""	""	"1"	"1"	"MA11047721"
"0021156917"	"0021156917"	"1"	""	""	""	"MA11528473"
"0021156932"	"0021156932"	"1"	""	""	"1"	"MA11205689"
"0021156979"	"0021156979"	"1"	""	""	"1"	"MA11529417"
"0021157105"	"0021157105"	"1"	""	""	"1"	"MA11147193"
"0021157107"	"0021157107"	"1"	""	""	"1"	"MR25083985"
"0021157190"	"0021157190"	"1"	""	""	"1"	"MA08775478"
"0021157215"	"0021157215"	""	""	"1"	"1"	"MA11047721"
"0021157298"	"0021157298"	"1"	""	""	"1"	"MA11236846"
"0021157353"	"0021157353"	"1"	""	""	"1"	"MA08274696"
"0021157364"	"0021157364"	"1"	""	""	"1"	"MF13920497"
"0021157373"	"0021157373"	"1"	""	""	"1"	"MF01825349"
"0021157384"	"0021157384"	"1"	""	""	"1"	"MR00667090"
"0021157391"	"0021157391"	"1"	""	""	"1"	"MR02052701"
"0021157397"	"0021157397"	"1"	""	""	"1"	"MA08844960"
"0021157404"	"0021157404"	"1"	""	""	"1"	"MF13977297"
"0021157405"	"0021157405"	"1"	""	""	"1"	"MF04920743"
"0021157434"	"0021157434"	"1"	""	""	"1"	"MA08845546"
"0021157436"	"0021157436"	"1"	""	""	"1"	"MA08845531"
"0021157462"	"0021157462"	""	""	"1"	"1"	"MA11047721"
"0021157520"	"0021157520"	""	""	"1"	"1"	"MA11047721"
"0021157665"	"0021157665"	"1"	""	""	""	"MA11445496"
"0021157740"	"0021157740"	"1"	""	""	"1"	"MA11516337"
"0021157858"	"0021157858"	""	""	"1"	"1"	"MA11047721"
"0021157982"	"0021157982"	"1"	""	""	"1"	"MA11592126"
"0021157987"	"0021157987"	"1"	""	""	"1"	"MA08375185"
"0021158045"	"0021158045"	"1"	""	""	"1"	"MA08617894"
"0021158093"	"0021158093"	"1"	""	""	""	"MA11449413"
"0021158132"	"0021158132"	"1"	""	""	"1"	"MF06229403"
"0021158144"	"0021158144"	"1"	""	""	"1"	"MA08774643"
"0021158199"	"0021158199"	"1"	""	""	"1"	"MA08844238"
"0021158208"	"0021158208"	"1"	""	""	"1"	"MA11109254"
"0021158431"	""	""	""	"1"	""	"MA11047721"
"0021158769"	"0021158769"	"1"	""	""	"1"	"MA11444435"
"0021158770"	"0021158770"	"1"	""	""	"1"	"MA08774399"
"0021158876"	"0021158876"	"1"	""	""	"1"	"MF12778567"
"0021158879"	"0021158879"	"1"	""	""	"1"	"MF12567984"
"0021158940"	"0021158940"	"1"	""	""	"1"	"MA11205655"
"0021158979"	"0021158979"	"1"	""	""	"1"	"MA11484137"
"0021158991"	"0021158991"	"1"	""	""	"1"	"MF11665839"
"0021159004"	"0021159004"	"1"	""	""	"1"	"MR08721969"
"0021159018"	"0021159018"	"1"	""	""	"1"	"MA11089483"
"0021159025"	"0021159025"	"1"	""	""	"1"	"MA11104277"
"0021159091"	"0021159091"	"1"	""	""	"1"	"MF13645331"
"0021159102"	"0021159102"	""	""	"1"	"1"	"MA11047721"
"0021159104"	"0021159104"	"1"	""	""	"1"	"MA08490089"
"0021159181"	"0021159181"	"1"	""	""	"1"	"MA11111735"
"0021159209"	"0021159209"	"1"	""	""	"1"	"MA11093745"
"0021159221"	"0021159221"	"1"	""	""	"1"	"MA11204303"
"0021159316"	"0021159316"	"1"	""	""	"1"	"MF05246538"
"0021159531"	"0021159531"	""	""	"1"	"1"	"N000132OUN"
"0021159543"	"0021159543"	"1"	""	""	"1"	"MR06450234"
"0021159552"	"0021159552"	""	""	"1"	"1"	"MA11047721"
"0021159611"	"0021159611"	"1"	""	""	"1"	"MR20252457"
"0021159632"	"0021159632"	"1"	""	""	"1"	"MA11481498"
"0021159734"	"0021159734"	"1"	""	""	"1"	"MA11108744"
"0021159755"	"0021159755"	"1"	""	""	"1"	"MF14313053"
"0021159758"	"0021159758"	"1"	""	""	"1"	"MA11203167"
"0021159784"	"0021159784"	""	""	"1"	"1"	"MA11047721"
"0021159950"	"0021159950"	"1"	""	""	"1"	"MA11203997"
"0021160061"	"0021160061"	""	""	"1"	"1"	"MA11047721"
"0021160080"	"0021160080"	"1"	""	""	"1"	"MA08846660"
"0021160099"	"0021160099"	"1"	""	""	"1"	"MA11481045"
"0021160109"	"0021160109"	"1"	""	""	"1"	"MA11520645"
"0021160318"	"0021160318"	"1"	""	""	"1"	"MR03409866"
"0021160360"	"0021160360"	"1"	""	""	"1"	"MA11522189"
"0021160401"	"0021160401"	""	""	"1"	"1"	"MA11047721"
"0021160577"	"0021160577"	"1"	""	""	"1"	"MA11143950"
"0021160585"	"0021160585"	"1"	""	""	""	"MA09316583"
"0021160754"	"0021160754"	"1"	""	""	""	"MA11484057"
"0021160795"	"0021160795"	"1"	""	""	"1"	"MA08277109"
"0021160839"	"0021160839"	"1"	""	""	""	"MA11591868"
"0021160934"	"0021160934"	"1"	""	""	""	"MA11444217"
"0021160947"	"0021160947"	"1"	""	""	"1"	"MF01186994"
"0021161068"	"0021161068"	"1"	""	""	"1"	"MA11078620"
"0021161094"	"0021161094"	"1"	""	""	"1"	"MA11204293"
"0021161128"	"0021161128"	"1"	""	""	"1"	"MR00739085"
"0021161235"	"0021161235"	"1"	""	""	"1"	"MA11093870"
"0021161241"	"0021161241"	"1"	""	""	"1"	"MA11005298"
"0021161271"	"0021161271"	"1"	""	""	"1"	"MA11524704"
"0021161332"	"0021161332"	"1"	""	""	"1"	"MA11125257"
"0021161355"	"0021161355"	"1"	""	""	"1"	"MA11050523"
