"RECORDID"	"ONEPERID"	"ONEPERFLAG"	"ORGFLAG"	"GROUPFLAG"	"EBDFFLAG"	"MASTERRECORDID"
"9190012992"	"9190012992"	"1"	""	""	"1"	"MR03883605"
"9190013024"	"9190013024"	"1"	""	""	""	"MC16189995"
"9190013040"	"9190013040"	"1"	""	""	"1"	"MC16205581"
"9190013045"	"9190013045"	"1"	""	""	"1"	"MR02098818"
"9190013065"	"9190013065"	"1"	""	""	"1"	"MC16187103"
"9190013066"	"9190013066"	"1"	""	""	"1"	"MC16190659"
"9190013068"	"9190013068"	"1"	""	""	""	"MC16201387"
"9190013088"	"9190013088"	"1"	""	""	"1"	"MC16200522"
"9190013093"	"9190013093"	"1"	""	""	""	"MC16197934"
"9190013096"	"9190013096"	"1"	""	""	"1"	"MC16206354"
"9190013108"	"9190013108"	"1"	""	""	"1"	"MC16205568"
"9190013109"	"9190013109"	"1"	""	""	""	"MC16201338"
"9190013120"	"9190013120"	"1"	""	""	"1"	"MC16201875"
"9190013132"	"9190013132"	"1"	""	""	"1"	"MC16206746"
"9190013140"	"9190013140"	"1"	""	""	""	"MC16205445"
"9190013156"	"9190013156"	"1"	""	""	"1"	"MR09270824"
"9190013170"	"9190013170"	"1"	""	""	"1"	"MC16201534"
"9190013184"	"9190013184"	"1"	""	""	"1"	"MC16201684"
"9190013202"	"9190013202"	"1"	""	""	"1"	"MC16187024"
"9190013237"	"9190013237"	"1"	""	""	"1"	"MC16205096"
"9190013278"	"9190013278"	"1"	""	""	""	"MC16189211"
"9190013290"	"9190013290"	"1"	""	""	"1"	"MA11104737"
"9190013336"	"9190013336"	"1"	""	""	""	"MC16189416"
"9190013344"	"9190013344"	"1"	""	""	""	"MC16187047"
"9190013360"	"9190013360"	"1"	""	""	"1"	"MR01988511"
"9190013383"	"9190013383"	"1"	""	""	"1"	"MC16194876"
"9190013397"	"9190013397"	"1"	""	""	"1"	"MC16205003"
"9190013418"	"9190013418"	"1"	""	""	"1"	"MR04849665"
"9190013430"	"9190013430"	"1"	""	""	"1"	"MR00247250"
"9190013431"	"9190013431"	"1"	""	""	"1"	"MR00801715"
"9190013442"	"9190013442"	"1"	""	""	"1"	"MF06319664"
